Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
,July 2014,$185K,-6.8%,-21.3%,1,-66.7%,-50.0%,4,0.0%,0.0%,1,0.0%,-50.0%,26,-50,-13,97.4%,-1.3%,2.0%
,August 2014,$223K,20.4%,-5.2%,5,400.0%,150.0%,4,0.0%,300.0%,,,,35,9,-4,97.4%,0.0%,2.0%
,September 2014,$204K,-8.5%,-13.2%,6,20.0%,200.0%,1,-75.0%,0.0%,,,,39,4,0,96.0%,-1.4%,0.6%
,October 2014,$223K,9.3%,,5,-16.7%,,1,0.0%,,1,,,43,4,,95.8%,-0.3%,
,November 2014,$114K,-49.1%,,1,-80.0%,,3,200.0%,,2,100.0%,,52,9,,89.0%,-6.7%,
,December 2014,$147K,29.5%,-58.0%,2,100.0%,100.0%,4,33.3%,33.3%,1,-50.0%,0.0%,64,12,59,99.0%,9.9%,-1.0%
,January 2015,$147K,0.0%,-58.0%,2,0.0%,100.0%,5,25.0%,25.0%,2,100.0%,0.0%,64,0,59,99.0%,0.0%,-1.0%
,February 2015,$147K,0.0%,-58.0%,2,0.0%,100.0%,5,0.0%,0.0%,2,0.0%,-50.0%,64,0,59,99.0%,0.0%,-1.0%
,March 2015,$283K,92.8%,,2,0.0%,,7,40.0%,,5,150.0%,,35,-29,,98.7%,-0.3%,
,April 2015,$283K,0.0%,42.8%,2,0.0%,-33.3%,7,0.0%,75.0%,5,0.0%,66.7%,35,0,-41,98.7%,0.0%,0.0%
,May 2015,$237K,-16.4%,19.4%,3,50.0%,0.0%,5,-28.6%,400.0%,4,-20.0%,100.0%,66,31,-10,99.1%,0.4%,0.5%
,June 2015,$190K,-19.8%,-4.3%,3,0.0%,0.0%,3,-40.0%,-25.0%,4,0.0%,300.0%,39,-27,-37,98.5%,-0.6%,-0.1%
,July 2015,$190K,0.0%,2.7%,5,66.7%,400.0%,2,-33.3%,-50.0%,3,-25.0%,200.0%,71,32,45,97.0%,-1.5%,-0.4%
,August 2015,$188K,-1.1%,-15.6%,4,-20.0%,-20.0%,2,0.0%,-50.0%,2,-33.3%,,56,-16,21,96.3%,-0.8%,-1.2%
,September 2015,$228K,21.0%,11.6%,3,-25.0%,-50.0%,2,0.0%,100.0%,1,-50.0%,,72,17,33,95.1%,-1.2%,-0.9%
,October 2015,$243K,6.6%,8.8%,4,33.3%,-20.0%,2,0.0%,100.0%,1,0.0%,0.0%,43,-30,-1,94.6%,-0.5%,-1.1%
,November 2015,$243K,0.0%,113.7%,4,0.0%,300.0%,2,0.0%,-33.3%,1,0.0%,-50.0%,43,0,-10,94.6%,0.0%,5.6%
,December 2015,$255K,5.2%,73.5%,3,-25.0%,50.0%,2,0.0%,-50.0%,1,0.0%,0.0%,45,3,-19,94.2%,-0.4%,-4.8%
,January 2016,$235K,-7.8%,59.9%,1,-66.7%,-50.0%,2,0.0%,-60.0%,1,0.0%,-50.0%,13,-32,-51,102.6%,8.4%,3.7%
,February 2016,$235K,0.0%,59.9%,1,0.0%,-50.0%,4,100.0%,-20.0%,2,100.0%,0.0%,13,0,-51,102.6%,0.0%,3.7%
,March 2016,$233K,-1.1%,-18.0%,2,100.0%,0.0%,3,-25.0%,-57.1%,1,-50.0%,-80.0%,10,-4,-26,101.5%,-1.1%,2.8%
,April 2016,$243K,4.5%,-14.3%,2,0.0%,0.0%,4,33.3%,-42.9%,3,200.0%,-40.0%,7,-3,-28,101.4%,-0.1%,2.7%
,May 2016,$255K,5.1%,7.8%,4,100.0%,33.3%,4,0.0%,-20.0%,1,-66.7%,-75.0%,8,1,-58,102.0%,0.6%,2.9%
,June 2016,$325K,27.4%,71.3%,4,0.0%,33.3%,7,75.0%,133.3%,3,200.0%,-25.0%,8,0,-31,104.6%,2.6%,6.1%
,July 2016,$325K,-0.2%,71.0%,4,0.0%,-20.0%,5,-28.6%,150.0%,2,-33.3%,-33.3%,18,10,-54,102.9%,-1.7%,5.9%
,August 2016,$225K,-30.8%,19.7%,3,-25.0%,-25.0%,6,20.0%,200.0%,4,100.0%,100.0%,15,-3,-41,102.1%,-0.8%,5.9%
,September 2016,$222K,-1.6%,-2.6%,4,33.3%,33.3%,6,0.0%,200.0%,5,25.0%,400.0%,28,13,-45,95.1%,-7.0%,0.0%
,October 2016,$218K,-1.5%,-10.0%,5,25.0%,25.0%,10,66.7%,400.0%,4,-20.0%,300.0%,31,4,-12,95.9%,0.8%,1.3%
,November 2016,$245K,12.3%,1.0%,9,80.0%,125.0%,7,-30.0%,250.0%,2,-50.0%,100.0%,39,8,-4,96.6%,0.7%,2.0%
,December 2016,$270K,10.2%,5.9%,9,0.0%,200.0%,4,-42.9%,100.0%,,,,55,16,10,99.1%,2.4%,4.9%
,January 2017,$270K,0.0%,14.9%,9,0.0%,800.0%,3,-25.0%,50.0%,,,,39,-16,26,100.4%,1.4%,-2.2%
,February 2017,$302K,11.7%,28.3%,6,-33.3%,500.0%,4,33.3%,0.0%,,,,7,-32,-6,107.9%,7.4%,5.2%
,March 2017,$265K,-12.1%,14.0%,5,-16.7%,150.0%,8,100.0%,166.7%,1,,0.0%,7,0,-3,108.1%,0.3%,6.6%
,April 2017,$288K,8.7%,18.5%,5,0.0%,150.0%,5,-37.5%,25.0%,,,,6,-1,-1,111.9%,3.8%,10.5%
,May 2017,$288K,0.0%,12.7%,7,40.0%,75.0%,7,40.0%,75.0%,1,,0.0%,6,0,-2,112.7%,0.7%,10.7%
,June 2017,$294K,2.1%,-9.7%,6,-14.3%,50.0%,4,-42.9%,-42.9%,1,0.0%,-66.7%,7,1,-2,114.8%,2.1%,10.2%
,July 2017,$350K,19.0%,7.7%,5,-16.7%,25.0%,4,0.0%,-20.0%,,,,7,1,-11,113.6%,-1.2%,10.7%
,August 2017,$416K,18.9%,84.9%,2,-60.0%,-33.3%,2,-50.0%,-66.7%,,,,19,12,4,102.2%,-11.5%,0.0%
,September 2017,$317K,-23.8%,43.2%,3,50.0%,-25.0%,3,50.0%,-50.0%,1,,-80.0%,7,-12,-21,105.0%,2.8%,9.8%
,October 2017,$317K,0.0%,45.3%,3,0.0%,-40.0%,6,100.0%,-40.0%,2,100.0%,-50.0%,7,0,-24,104.2%,-0.7%,8.3%
,November 2017,$355K,12.0%,44.9%,5,66.7%,-44.4%,5,-16.7%,-28.6%,,,,7,0,-32,107.7%,3.5%,11.1%
,December 2017,$449K,26.4%,66.2%,4,-20.0%,-55.6%,3,-40.0%,-25.0%,,,,7,0,-48,107.0%,-0.7%,8.0%
,January 2018,$355K,-20.9%,31.5%,3,-25.0%,-66.7%,,,,,,,7,0,-32,108.3%,1.2%,7.8%
,March 2018,$325K,,22.6%,2,,-60.0%,3,,-62.5%,,,,18,,11,100.3%,,-7.9%
,April 2018,$350K,7.7%,21.5%,3,50.0%,-40.0%,5,66.7%,0.0%,1,,,6,-12,0,104.1%,3.8%,-7.8%
,May 2018,$350K,0.0%,21.5%,5,66.7%,-28.6%,4,-20.0%,-42.9%,1,0.0%,0.0%,6,0,0,106.6%,2.5%,-6.1%
,June 2018,$475K,35.7%,61.6%,3,-40.0%,-50.0%,5,25.0%,25.0%,2,100.0%,100.0%,6,0,-1,110.7%,4.2%,-4.1%
,July 2018,$425K,-10.5%,21.4%,2,-33.3%,-60.0%,4,-20.0%,0.0%,3,50.0%,,32,26,25,110.2%,-0.5%,-3.4%
,August 2018,$392K,-7.8%,-5.8%,1,-50.0%,-50.0%,3,-25.0%,50.0%,3,0.0%,,7,-25,-12,109.2%,-1.0%,7.0%
,September 2018,$392K,0.0%,23.6%,1,0.0%,-66.7%,1,-66.7%,-66.7%,2,-33.3%,100.0%,7,0,0,109.2%,0.0%,4.2%
,October 2018,$392K,0.0%,23.6%,3,200.0%,0.0%,1,0.0%,-83.3%,,,,55,48,48,101.0%,-8.2%,-3.3%
,November 2018,$393K,0.2%,10.6%,4,33.3%,-20.0%,1,0.0%,-80.0%,,,,95,40,88,95.2%,-5.7%,-12.5%
,December 2018,$393K,0.0%,-12.5%,4,0.0%,0.0%,1,0.0%,-66.7%,,,,95,0,88,95.2%,0.0%,-11.8%
,January 2019,$453K,15.3%,27.5%,2,-50.0%,-33.3%,1,0.0%,,1,,,69,-26,62,93.6%,-1.6%,-14.7%
,July 2019,$495K,,16.5%,1,,-50.0%,8,,100.0%,15,,400.0%,3,,-29,100.0%,,-10.2%
,August 2019,$368K,-25.8%,-6.2%,2,100.0%,100.0%,5,-37.5%,66.7%,13,-13.3%,333.3%,11,8,4,98.0%,-2.0%,-11.2%
,September 2019,$368K,0.0%,-6.2%,2,0.0%,100.0%,5,0.0%,400.0%,12,-7.7%,500.0%,11,0,4,98.0%,0.0%,-11.2%
,October 2019,$257K,-30.0%,-34.4%,3,50.0%,0.0%,2,-60.0%,100.0%,11,-8.3%,,116,106,61,97.4%,-0.6%,-3.5%
,November 2019,$483K,87.8%,23.1%,3,0.0%,-25.0%,4,100.0%,300.0%,11,0.0%,,116,0,22,98.2%,0.7%,2.9%
,December 2019,$444K,-8.1%,13.1%,4,33.3%,0.0%,2,-50.0%,100.0%,9,-18.2%,,100,-17,5,98.0%,-0.1%,2.8%
,January 2020,$473K,6.4%,4.4%,4,0.0%,100.0%,2,0.0%,100.0%,8,-11.1%,700.0%,69,-31,0,102.5%,4.5%,8.9%
,February 2020,$405K,-14.3%,,3,-25.0%,,6,200.0%,,6,-25.0%,,63,-6,,104.0%,1.4%,
,March 2020,$755K,86.4%,,2,-33.3%,,6,0.0%,,6,0.0%,,36,-28,,107.2%,3.2%,
,July 2020,$295K,,-40.4%,1,,0.0%,4,,-50.0%,8,,-46.7%,20,,17,100.0%,,0.0%
,August 2020,$295K,0.0%,-19.7%,1,0.0%,-50.0%,8,100.0%,60.0%,11,37.5%,-15.4%,20,0,10,100.0%,0.0%,2.0%
,September 2020,$462K,56.8%,25.8%,2,100.0%,0.0%,7,-12.5%,40.0%,12,9.1%,0.0%,11,-9,1,100.0%,0.0%,2.0%
,October 2020,$451K,-2.5%,75.3%,2,0.0%,-33.3%,6,-14.3%,200.0%,10,-16.7%,-9.1%,16,5,-100,97.7%,-2.3%,0.3%
"Seattle, WA - Judkins Park",February 2012,$255K,2.2%,-10.7%,11,57.1%,37.5%,9,-10.0%,80.0%,6,-45.5%,-62.5%,86,48,-8,97.1%,0.5%,-2.0%
,March 2012,$255K,0.0%,-8.3%,11,0.0%,120.0%,10,11.1%,11.1%,6,0.0%,-64.7%,96,10,-45,98.2%,1.1%,0.4%
,April 2012,$260K,2.0%,-7.6%,11,0.0%,83.3%,9,-10.0%,12.5%,6,0.0%,-60.0%,126,30,55,99.0%,0.7%,3.6%
,May 2012,$250K,-3.9%,2.0%,9,-18.2%,50.0%,13,44.4%,-13.3%,11,83.3%,-45.0%,12,-114,-60,99.4%,0.5%,4.1%
,June 2012,$301K,20.2%,28.4%,8,-11.1%,14.3%,16,23.1%,14.3%,10,-9.1%,-33.3%,11,-1,-6,99.5%,0.1%,2.2%
,July 2012,$360K,19.8%,56.5%,9,12.5%,28.6%,19,18.8%,18.8%,14,40.0%,0.0%,9,-2,-25,100.1%,0.5%,3.8%
,August 2012,$324K,-10.1%,47.1%,12,33.3%,20.0%,14,-26.3%,55.6%,10,-28.6%,0.0%,16,7,-21,99.3%,-0.8%,5.0%
,September 2012,$328K,1.4%,31.1%,13,8.3%,8.3%,12,-14.3%,20.0%,9,-10.0%,-10.0%,26,10,-32,99.0%,-0.2%,4.8%
,October 2012,$323K,-1.7%,25.3%,12,-7.7%,-14.3%,10,-16.7%,-28.6%,7,-22.2%,-50.0%,33,8,-19,97.3%,-1.7%,2.0%
,November 2012,$360K,11.5%,17.1%,11,-8.3%,10.0%,10,0.0%,-37.5%,8,14.3%,-33.3%,30,-3,-21,97.4%,0.1%,0.6%
,December 2012,$376K,4.4%,45.9%,8,-27.3%,-20.0%,7,-30.0%,-46.2%,7,-12.5%,-41.7%,30,0,-4,96.7%,-0.7%,0.1%
,January 2013,$345K,-8.2%,38.3%,7,-12.5%,0.0%,8,14.3%,-20.0%,5,-28.6%,-54.5%,38,8,0,98.6%,1.9%,2.0%
,February 2013,$345K,0.0%,35.3%,7,0.0%,-36.4%,8,0.0%,-11.1%,4,-20.0%,-33.3%,19,-19,-67,99.0%,0.4%,1.8%
,March 2013,$317K,-8.0%,24.5%,6,-14.3%,-45.5%,13,62.5%,30.0%,6,50.0%,0.0%,15,-4,-81,99.4%,0.4%,1.1%
,April 2013,$390K,22.7%,49.8%,10,66.7%,-9.1%,17,30.8%,88.9%,7,16.7%,16.7%,11,-4,-115,99.5%,0.1%,0.5%
,May 2013,$378K,-3.1%,51.0%,14,40.0%,55.6%,26,52.9%,100.0%,11,57.1%,0.0%,8,-3,-4,100.6%,1.1%,1.1%
,June 2013,$386K,2.1%,28.3%,17,21.4%,112.5%,27,3.8%,68.8%,10,-9.1%,0.0%,8,-1,-4,101.1%,0.5%,1.6%
,July 2013,$373K,-3.4%,3.5%,20,17.6%,122.2%,24,-11.1%,26.3%,10,0.0%,-28.6%,9,1,-1,101.0%,-0.1%,0.9%
,August 2013,$355K,-4.7%,9.7%,19,-5.0%,58.3%,17,-29.2%,21.4%,11,10.0%,10.0%,13,5,-3,101.6%,0.6%,2.3%
,September 2013,$348K,-2.0%,6.0%,17,-10.5%,30.8%,16,-5.9%,33.3%,11,0.0%,22.2%,14,1,-12,101.1%,-0.4%,2.1%
,October 2013,$370K,6.3%,14.6%,12,-29.4%,0.0%,17,6.3%,70.0%,12,9.1%,71.4%,14,0,-19,101.9%,0.8%,4.6%
,November 2013,$420K,13.5%,16.7%,8,-33.3%,-27.3%,21,23.5%,110.0%,9,-25.0%,12.5%,21,7,-9,99.9%,-2.0%,2.5%
,December 2013,$409K,-2.6%,8.8%,17,112.5%,112.5%,17,-19.0%,142.9%,6,-33.3%,-14.3%,15,-6,-15,99.4%,-0.5%,2.7%
,January 2014,$390K,-4.7%,13.0%,17,0.0%,142.9%,14,-17.6%,75.0%,2,-66.7%,-60.0%,25,10,-13,99.0%,-0.4%,0.4%
,February 2014,$371K,-4.9%,7.5%,18,5.9%,157.1%,7,-50.0%,-12.5%,3,50.0%,-25.0%,24,-1,5,99.1%,0.1%,0.2%
,March 2014,$372K,0.3%,17.2%,11,-38.9%,83.3%,7,0.0%,-46.2%,2,-33.3%,-66.7%,40,16,25,99.7%,0.6%,0.4%
,April 2014,$567K,52.5%,45.7%,8,-27.3%,-20.0%,12,71.4%,-29.4%,5,150.0%,-28.6%,18,-22,7,99.9%,0.2%,0.5%
,May 2014,$406K,-28.5%,7.5%,12,50.0%,-14.3%,23,91.7%,-11.5%,13,160.0%,18.2%,8,-10,0,101.7%,1.7%,1.1%
,June 2014,$375K,-7.6%,-2.7%,17,41.7%,0.0%,28,21.7%,3.7%,9,-30.8%,-10.0%,9,1,2,100.6%,-1.0%,-0.5%
,July 2014,$375K,0.0%,0.7%,20,17.6%,0.0%,24,-14.3%,0.0%,10,11.1%,0.0%,9,-1,0,101.8%,1.2%,0.8%
,August 2014,$375K,0.0%,5.6%,17,-15.0%,-10.5%,18,-25.0%,5.9%,6,-40.0%,-45.5%,12,4,-1,100.9%,-0.9%,-0.6%
,September 2014,$395K,5.3%,13.5%,17,0.0%,0.0%,19,5.6%,18.8%,6,0.0%,-45.5%,28,16,14,100.9%,-0.1%,-0.3%
,October 2014,$350K,-11.4%,-5.4%,17,0.0%,41.7%,19,0.0%,11.8%,7,16.7%,-41.7%,28,0,14,99.8%,-1.1%,-2.1%
,November 2014,$335K,-4.2%,-20.2%,16,-5.9%,100.0%,14,-26.3%,-33.3%,4,-42.9%,-55.6%,6,-22,-15,99.4%,-0.4%,-0.4%
,December 2014,$319K,-4.9%,-22.0%,10,-37.5%,-41.2%,7,-50.0%,-58.8%,4,0.0%,-33.3%,6,0,-9,99.8%,0.3%,0.4%
,January 2015,$349K,9.4%,-10.5%,7,-30.0%,-58.8%,4,-42.9%,-71.4%,3,-25.0%,50.0%,7,1,-18,98.5%,-1.3%,-0.5%
,February 2015,$357K,2.3%,-3.8%,8,14.3%,-55.6%,7,75.0%,0.0%,2,-33.3%,-33.3%,48,41,24,95.9%,-2.6%,-3.3%
,March 2015,$372K,4.1%,-0.1%,10,25.0%,-9.1%,16,128.6%,128.6%,4,100.0%,100.0%,25,-23,-16,97.6%,1.7%,-2.1%
,April 2015,$372K,0.0%,-34.5%,16,60.0%,100.0%,22,37.5%,83.3%,3,-25.0%,-40.0%,8,-17,-11,100.6%,3.0%,0.7%
,May 2015,$431K,16.0%,6.2%,21,31.3%,75.0%,24,9.1%,4.3%,4,33.3%,-69.2%,8,0,-1,105.6%,5.0%,3.9%
,June 2015,$502K,16.5%,33.9%,23,9.5%,35.3%,28,16.7%,0.0%,6,50.0%,-33.3%,8,1,-1,106.1%,0.5%,5.5%
,July 2015,$525K,4.6%,40.0%,27,17.4%,35.0%,35,25.0%,45.8%,9,50.0%,-10.0%,7,-1,-2,104.9%,-1.2%,3.1%
,August 2015,$505K,-3.8%,34.7%,31,14.8%,82.4%,43,22.9%,138.9%,12,33.3%,100.0%,7,0,-5,102.1%,-2.8%,1.2%
,September 2015,$460K,-8.9%,16.4%,36,16.1%,111.8%,38,-11.6%,100.0%,8,-33.3%,33.3%,7,0,-21,102.9%,0.7%,2.0%
,October 2015,$453K,-1.6%,29.3%,36,0.0%,111.8%,32,-15.8%,68.4%,8,0.0%,14.3%,13,6,-15,102.2%,-0.6%,2.4%
,November 2015,$447K,-1.1%,33.4%,28,-22.2%,75.0%,25,-21.9%,78.6%,6,-25.0%,50.0%,16,3,10,102.2%,-0.1%,2.7%
,December 2015,$422K,-5.7%,32.3%,20,-28.6%,100.0%,22,-12.0%,214.3%,7,16.7%,75.0%,24,8,18,100.0%,-2.2%,0.2%
,January 2016,$455K,7.8%,30.4%,11,-45.0%,57.1%,19,-13.6%,375.0%,8,14.3%,166.7%,26,3,19,100.0%,0.0%,1.5%
,February 2016,$480K,5.5%,34.5%,15,36.4%,87.5%,21,10.5%,200.0%,6,-25.0%,200.0%,13,-13,-35,101.4%,1.3%,5.5%
,March 2016,$534K,11.3%,43.9%,24,60.0%,140.0%,20,-4.8%,25.0%,6,0.0%,50.0%,10,-3,-15,100.5%,-0.9%,2.9%
,April 2016,$545K,2.0%,46.7%,26,8.3%,62.5%,20,0.0%,-9.1%,6,0.0%,100.0%,7,-3,-1,100.7%,0.2%,0.1%
,May 2016,$527K,-3.3%,22.3%,22,-15.4%,4.8%,16,-20.0%,-33.3%,8,33.3%,100.0%,7,0,-1,102.9%,2.2%,-2.7%
,June 2016,$580K,10.1%,15.5%,17,-22.7%,-26.1%,16,0.0%,-42.9%,6,-25.0%,0.0%,6,-1,-2,103.8%,0.9%,-2.3%
,July 2016,$608K,4.7%,15.7%,18,5.9%,-33.3%,22,37.5%,-37.1%,11,83.3%,22.2%,12,6,5,103.2%,-0.6%,-1.7%
,August 2016,$545K,-10.3%,7.9%,22,22.2%,-29.0%,22,0.0%,-48.8%,9,-18.2%,-25.0%,11,-1,4,101.8%,-1.4%,-0.3%
,September 2016,$520K,-4.7%,13.0%,23,4.5%,-36.1%,22,0.0%,-42.1%,7,-22.2%,-12.5%,18,7,11,101.7%,-0.1%,-1.2%
,October 2016,$520K,0.1%,14.9%,22,-4.3%,-38.9%,18,-18.2%,-43.8%,5,-28.6%,-37.5%,18,0,5,102.1%,0.4%,-0.1%
,November 2016,$591K,13.7%,32.1%,24,9.1%,-14.3%,16,-11.1%,-36.0%,3,-40.0%,-50.0%,36,18,21,101.6%,-0.5%,-0.6%
,December 2016,$640K,8.2%,51.6%,20,-16.7%,0.0%,14,-12.5%,-36.4%,4,33.3%,-42.9%,33,-4,9,102.0%,0.4%,2.0%
,January 2017,$628K,-1.9%,37.9%,18,-10.0%,63.6%,11,-21.4%,-42.1%,5,25.0%,-37.5%,33,0,7,103.3%,1.3%,3.3%
,February 2017,$705K,12.4%,46.9%,9,-50.0%,-40.0%,12,9.1%,-42.9%,1,-80.0%,-83.3%,36,4,23,103.7%,0.4%,2.4%
,March 2017,$704K,-0.1%,31.7%,14,55.6%,-41.7%,19,58.3%,-5.0%,2,100.0%,-66.7%,39,3,29,103.4%,-0.3%,3.0%
,April 2017,$715K,1.6%,31.2%,17,21.4%,-34.6%,19,0.0%,-5.0%,4,100.0%,-33.3%,8,-31,1,103.1%,-0.3%,2.4%
,May 2017,$725K,1.4%,37.6%,22,29.4%,0.0%,21,10.5%,31.3%,5,25.0%,-37.5%,7,-1,0,102.4%,-0.7%,-0.5%
,June 2017,$735K,1.4%,26.7%,21,-4.5%,23.5%,18,-14.3%,12.5%,3,-40.0%,-50.0%,7,0,1,103.8%,1.4%,0.0%
,July 2017,$740K,0.7%,21.8%,20,-4.8%,11.1%,23,27.8%,4.5%,9,200.0%,-18.2%,8,1,-4,104.2%,0.4%,1.0%
,August 2017,$717K,-3.2%,31.4%,23,15.0%,4.5%,33,43.5%,50.0%,9,0.0%,0.0%,7,-1,-4,107.3%,3.1%,5.4%
,September 2017,$650K,-9.3%,25.1%,25,8.7%,8.7%,34,3.0%,54.5%,6,-33.3%,-14.3%,7,0,-11,108.5%,1.3%,6.8%
,October 2017,$695K,6.9%,33.7%,31,24.0%,40.9%,33,-2.9%,83.3%,3,-50.0%,-40.0%,7,0,-11,105.9%,-2.6%,3.8%
,November 2017,$680K,-2.2%,15.1%,31,0.0%,29.2%,19,-42.4%,18.8%,2,-33.3%,-33.3%,7,0,-29,104.9%,-1.0%,3.3%
,December 2017,$700K,2.9%,9.5%,25,-19.4%,25.0%,13,-31.6%,-7.1%,,,,7,0,-26,103.0%,-2.0%,1.0%
,January 2018,$685K,-2.1%,9.2%,17,-32.0%,-5.6%,12,-7.7%,9.1%,1,,-80.0%,7,0,-26,104.4%,1.5%,1.1%
,February 2018,$750K,9.5%,6.4%,12,-29.4%,33.3%,14,16.7%,16.7%,2,100.0%,100.0%,9,2,-27,103.8%,-0.6%,0.0%
,March 2018,$779K,3.9%,10.7%,13,8.3%,-7.1%,20,42.9%,5.3%,3,50.0%,50.0%,7,-2,-32,106.9%,3.1%,3.4%
,April 2018,$777K,-0.3%,8.7%,16,23.1%,-5.9%,17,-15.0%,-10.5%,1,-66.7%,-75.0%,7,0,-1,106.9%,0.0%,3.8%
,May 2018,$777K,0.0%,7.2%,18,12.5%,-18.2%,22,29.4%,4.8%,4,300.0%,-20.0%,7,0,0,106.0%,-0.9%,3.6%
,June 2018,$775K,-0.3%,5.4%,19,5.6%,-9.5%,21,-4.5%,16.7%,2,-50.0%,-33.3%,8,1,1,103.7%,-2.3%,-0.1%
,July 2018,$766K,-1.2%,3.5%,18,-5.3%,-10.0%,23,9.5%,0.0%,3,50.0%,-66.7%,16,8,8,101.4%,-2.3%,-2.7%
,August 2018,$750K,-2.2%,4.6%,14,-22.2%,-39.1%,18,-21.7%,-45.5%,3,0.0%,-66.7%,13,-3,6,100.8%,-0.6%,-6.5%
,September 2018,$703K,-6.3%,8.1%,13,-7.1%,-48.0%,17,-5.6%,-50.0%,6,100.0%,0.0%,10,-3,3,100.7%,-0.1%,-7.8%
,October 2018,$659K,-6.3%,-5.3%,12,-7.7%,-61.3%,16,-5.9%,-51.5%,8,33.3%,166.7%,10,-1,3,101.0%,0.3%,-4.9%
,November 2018,$703K,6.7%,3.3%,14,16.7%,-54.8%,14,-12.5%,-26.3%,4,-50.0%,100.0%,11,2,4,98.3%,-2.7%,-6.7%
,December 2018,$723K,2.9%,3.3%,13,-7.1%,-48.0%,10,-28.6%,-23.1%,5,25.0%,,18,7,11,97.7%,-0.6%,-5.3%
,January 2019,$736K,1.9%,7.5%,10,-23.1%,-41.2%,11,10.0%,-8.3%,7,40.0%,600.0%,25,7,18,97.6%,-0.1%,-6.8%
,February 2019,$850K,15.4%,13.3%,9,-10.0%,-25.0%,13,18.2%,-7.1%,10,42.9%,400.0%,26,1,17,100.5%,2.9%,-3.3%
,March 2019,$900K,5.8%,15.5%,7,-22.2%,-46.2%,17,30.8%,-15.0%,7,-30.0%,133.3%,27,1,20,100.5%,-0.1%,-6.4%
,April 2019,$800K,-11.1%,3.0%,10,42.9%,-37.5%,17,0.0%,0.0%,8,14.3%,700.0%,50,23,43,99.8%,-0.7%,-7.1%
,May 2019,$750K,-6.3%,-3.5%,13,30.0%,-27.8%,19,11.8%,-13.6%,10,25.0%,150.0%,16,-34,9,99.7%,-0.1%,-6.3%
,June 2019,$734K,-2.1%,-5.3%,16,23.1%,-15.8%,17,-10.5%,-19.0%,5,-50.0%,150.0%,14,-2,6,99.8%,0.2%,-3.9%
,July 2019,$705K,-4.0%,-8.0%,16,0.0%,-11.1%,14,-17.6%,-39.1%,5,0.0%,66.7%,14,0,-2,100.5%,0.6%,-0.9%
,August 2019,$695K,-1.4%,-7.3%,14,-12.5%,0.0%,16,14.3%,-11.1%,2,-60.0%,-33.3%,11,-3,-2,100.3%,-0.1%,-0.5%
,September 2019,$728K,4.7%,3.6%,20,42.9%,53.8%,16,0.0%,-5.9%,3,50.0%,-50.0%,8,-4,-3,100.2%,-0.1%,-0.5%
,October 2019,$750K,3.1%,13.9%,17,-15.0%,41.7%,24,50.0%,50.0%,11,266.7%,37.5%,5,-3,-5,100.0%,-0.2%,-1.0%
,November 2019,$750K,0.0%,6.7%,16,-5.9%,14.3%,19,-20.8%,35.7%,10,-9.1%,150.0%,5,0,-6,99.5%,-0.5%,1.2%
,December 2019,$727K,-3.0%,0.6%,8,-50.0%,-38.5%,16,-15.8%,60.0%,7,-30.0%,40.0%,5,0,-13,99.4%,-0.1%,1.8%
,January 2020,$685K,-5.8%,-7.0%,10,25.0%,0.0%,8,-50.0%,-27.3%,7,0.0%,0.0%,4,-1,-21,100.1%,0.7%,2.5%
,February 2020,$685K,0.0%,-19.4%,9,-10.0%,0.0%,11,37.5%,-15.4%,9,28.6%,-10.0%,5,1,-21,102.3%,2.2%,1.8%
,March 2020,$690K,0.7%,-23.3%,9,0.0%,28.6%,14,27.3%,-17.6%,12,33.3%,71.4%,6,1,-21,102.6%,0.3%,2.2%
,April 2020,$711K,3.1%,-11.1%,7,-22.2%,-30.0%,14,0.0%,-17.6%,12,0.0%,50.0%,7,1,-43,102.9%,0.3%,3.1%
,May 2020,$710K,-0.2%,-5.3%,9,28.6%,-30.8%,13,-7.1%,-31.6%,10,-16.7%,0.0%,5,-2,-11,102.5%,-0.4%,2.8%
,June 2020,$710K,0.0%,-3.3%,11,22.2%,-31.3%,13,0.0%,-23.5%,7,-30.0%,40.0%,6,1,-8,102.2%,-0.3%,2.4%
,July 2020,$695K,-2.1%,-1.4%,15,36.4%,-6.3%,14,7.7%,0.0%,4,-42.9%,-20.0%,8,2,-6,101.4%,-0.8%,0.9%
,August 2020,$732K,5.3%,5.3%,18,20.0%,28.6%,29,107.1%,81.3%,18,350.0%,800.0%,7,-1,-4,102.4%,1.0%,2.1%
,September 2020,$742K,1.3%,2.0%,20,11.1%,0.0%,36,24.1%,125.0%,17,-5.6%,466.7%,7,0,-1,102.0%,-0.5%,1.7%
,October 2020,$775K,4.4%,3.3%,26,30.0%,52.9%,38,5.6%,58.3%,10,-41.2%,-9.1%,8,1,3,101.5%,-0.5%,1.4%
"Seattle, WA - Lake City",February 2012,$265K,-6.2%,-10.6%,63,-1.6%,18.9%,63,-1.6%,-10.0%,71,-4.1%,-26.8%,55,11,-38,96.4%,-0.8%,0.5%
